Flex,Head_Size,String_Pattern,Swingweight,Length,Racket_Name,Swing_speed,Balance,Power_Level
66,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",305,27 inches,MXG 1,"Fast, Long Swing",7 Pts Head Light,Low
57,98 sq. in MP,"
					18 Mains / 20 Crosses, Mains Skip: 9T, 8H, 10H, Two Piece, No Shared Holes
					",308,27 inches,MicroGel Radical MP Prestrungs,"Fast, Long Swing",4 Pts Head Light,Low
61,110 sq. in OS,"
					16 Mains / 19 Crosses or 14  Mains / 19 Crosses, Two Piece, 
					",309,27.4 inches,Graphene XT Radical PWR,"Slow, Compact Swing",Even Balance,High
64,98 sq. in MP,"
					16 Mains / 16 Crosses or 16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",319,27 inches,Graphene XT Radical MP A,"Fast, Long Swing",9 Pts Head Light,Low
59,102 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",306,27 inches,Graphene Touch Radical S,"Fast, Long Swing",8 Pts Head Light,Medium
65,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",336,27 inches,Graphene XT Radical Pro,"Fast, Long Swing",9 Pts Head Light,Low
65,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",322,27 inches,Graphene Touch Radical MP,"Fast, Long Swing",8 Pts Head Light,Medium
56,102 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",309,27 inches,Graphene XT Radical Lite,"Medium, Moderate Swing",Even Balance,Medium
65,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",327,27 inches,Graphene Touch Radical Pro,"Fast, Long Swing",8 Pts Head Light,Low
61,98 sq. in MP,"
					18 Mains / 20 Crosses, Mains Skip: 8H, 9T, 10H, Two Piece, No Shared Holes
					",311,27 inches,Graphene XT Prestige MP,"Fast, Long Swing",10 Pts Head Light,Low
62,110 sq. in OS,"
					16 Mains / 19 Crosses or 14  Mains / 19 Crosses, Varies, Two Piece, Varies
					",315,27.4 inches,Graphene Touch Radical PWR,"Slow, Compact Swing",Even Balance,High
59,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",309,27 inches,Graphene XT Prestige S,"Fast, Long Swing",8 Pts Head Light,Low
58,93 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",322,27 inches,Graphene XT Prestige Rev Pro,"Fast, Long Swing",8 Pts Head Light,Medium
61,95 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",324,27 inches,Graphene Touch Prestige Pro,"Fast, Long Swing",8 Pts Head Light,Low
