Flex,Head_Size,String_Pattern,Swingweight,Length,Racket_Name,Swing_speed,Balance,Power_Level
67,97 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",337,27 inches,Pro Staff RF 97 Autograph,"Fast, Long Swing",12 Pts Head Light,Low
62,98 sq. in MP,"
					18 Mains / 20 Crosses, Mains Skip: 8T, 8H, 10T, 10H, Two Piece, No Shared Holes
					",326,27 inches,Blade 98 18X20 Countervail,"Fast, Long Swing",6 Pts Head Light,Low
63,104 sq. in MP,"
					18 Mains / 19 Crosses, Mains Skip: 9T, 9H, Two Piece, No Shared Holes
					",346,28 inches,Blade 104 Countervail SW Autograph,"Fast, Long Swing",8 Pts Head Light,Medium
69,99 sq. in MP,"
					16 Mains / 18 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",296,27 inches,Blade Team 99 Lite,"Medium, Moderate Swing",6 Pts Head Light,Medium
61,104 sq. in MP,"
					18 Mains / 19 Crosses, Mains Skip: 9T, 9H, Two Piece, No Shared Holes
					",324,27.5 inches,Blade 104,"Fast, Long Swing",8 Pts Head Light,Medium
62,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",316,27 inches,Blade 98 16X19 Countervail,"Fast, Long Swing",6 Pts Head Light,Low
62,98 sq. in MP,"
					18 Mains / 16 Crosses, Mains Skip: 8T, 8H, 10T, 10H, Two Piece, No Shared Holes
					",327,27 inches,Blade 98S 18X16 Countervail,"Fast, Long Swing",4 Pts Head Light,Medium
70,99 sq. in MP,"
					16 Mains / 18 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",321,27 inches,Blade Team 99,"Fast, Long Swing",6 Pts Head Light,Medium
62,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",316,27 inches,Blade 98 16X19 CV Black,"Fast, Long Swing",6 Pts Head Light,Low
65,97 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",318,27 inches,Pro Staff 97 Countervail Black,"Fast, Long Swing",10 Pts Head Light,Low
72,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",312,27 inches,Ultra 100 CV Reverse,"Medium, Moderate Swing",7 Pts Head Light,Medium
72,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",312,27 inches,Ultra 100 CV Black,"Medium, Moderate Swing",7 Pts Head Light,Medium
63,97 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",323,27 inches,Pro Staff 97 Black,"Fast, Long Swing",10 Pts Head Light,Low
68,97 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",313,27 inches,Pro Staff 97L Countervail,"Fast, Long Swing",6 Pts Head Light,Medium
66,100 sq. in MP,"
					18 Mains / 16 Crosses, Mains Skip: 9T, 8H, 10H, Two Piece, Shared Holes: 8T
					",318,27 inches,Burn 100S CV Black,"Fast, Long Swing",7 Pts Head Light,Medium
64,97 sq. in MP,"
					18 Mains / 16 Crosses, Mains Skip: 8T, 10T, 8H, 10H, Two Piece, No Shared Holes
					",302,27 inches,Pro Staff 97LS Black,"Fast, Long Swing",6 Pts Head Light,Medium
,103 sq. in MP,"
					16 Mains / 20 Crosses, Two Piece, 
					",321,27.25 inches,Triad Five,"Medium, Moderate Swing",3 Pts Head Heavy,High
69,105 sq. in OS,"
					16 Mains / 15 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",332,27.5 inches,Steam 105S Yellow,"Fast, Long Swing",4 Pts Head Light,Medium
71,110 sq. in OS,"
					16 Mains / 20 Crosses, Two Piece, 
					",327,27.5 inches,Hyper Hammer 5.3 110 Prestrung,"Fast, Long Swing",10 Pts Head Heavy,Medium
,103 sq. in MP,"
					16 Mains / 18 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",318,27 inches,Triad XP 5,"Medium, Moderate Swing",3 Pts Head Heavy,Medium
71,115 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",334,27.9 inches,N1 115 Prestrung,"Slow, Compact Swing",10 Pts Head Heavy,High
