Flex,Head_Size (in.^2),String_Pattern,Swingweight (g.),Length (in.),Racket_Name,Swing_speed,Power_Level,Price($),Balance_Points,Balance_Type
68,100,16 Mains / 19 Crosses,323,27,Babolat 2018 Pure Drive,"Fast, Long",Medium,219.00,7,HL
70,100,16 Mains / 19 Crosses,320,27,Babolat 2018 Pure Drive Tour,"Fast, Long",Low,219.00,9,HL
66,100,16 Mains / 19 Crosses,316,27,Babolat Pure Aero Decima French Open,"Fast, Long",Low,221.11,7,HL
69,100,16 Mains / 19 Crosses,320,27.5,Babolat 2018 Pure Drive Plus,"Medium, Moderate",Medium,219.00,9,HL
66,107,16 Mains / 19 Crosses,321,27.2,Babolat 2018 Pure Drive 107,"Medium, Moderate",Medium,199.00,8,HL
67,100,16 Mains / 19 Crosses,321,27,Babolat 2018 Pure Drive Team,"Medium, Moderate",Medium,199.00,7,HL
69,100,16 Mains / 19 Crosses,321,27.5,Babolat 2018 Pure Drive Tour Plus,"Fast, Long",Low,219.00,11,HL
67,100,16 Mains / 19 Crosses,300,27,Babolat 2018 Pure Drive Lite,"Medium, Moderate",Medium,195.00,4,HL
66,112,16 Mains / 19 Crosses,328,27.5,Babolat Aero 112 Prestrung,"Slow, Compact",High,109.00,2,HL
66,100,16 Mains / 19 Crosses,316,27,Babolat Pure Aero Play,"Fast, Long",Low,319.00,7,HL
66,100,16 Mains / 19 Crosses,316,27,Babolat Pure Aero Stars and Stripes,"Fast, Long",Low,169.00,7,HL
67,98 ,16 Mains / 20 Crosses,312,27,Babolat Pure Aero VS Stars and Stripes,"Fast, Long",Low,169.00,7,HL
66,98 ,16 Mains / 20 Crosses,333,27,Babolat Pure Aero VS Tour,"Fast, Long",Low,229.00,10,HL
65,98 ,16 Mains / 20 Crosses,318,27,Babolat Pure Aero VS,"Fast, Long",Low,229.00,7,HL
66,100,16 Mains / 19 Crosses,302,27,Babolat Pure Aero Lite Pink,"Medium, Moderate",Medium,195.00,4,HL
66,100,16 Mains / 19 Crosses,307,27,Babolat Pure Aero Team,"Fast, Long",Medium,199.00,7,HL
70,100,16 Mains / 19 Crosses,295,27,Babolat Drive Lite White and Purple,"Medium, Moderate",High,119.00,1,HL
74,115,16 Mains / 19 Crosses,317,27.25,Babolat Drive 115,"Slow, Compact",High,139.00,0,Even
70,105,16 Mains / 19 Crosses,314,27,Babolat Boost D Prestrung,"Medium, Moderate",Medium,99.00,1,HH
67,102,16 Mains / 19 Crosses,306,27,Babolat Boost A Pink Prestrung,"Medium, Moderate1",Medium,109.00,1,HH
66,115,16 Mains / 20 Crosses,314,27.6,Babolat Drive G 115,"Slow, Compact",High,159.00,5,HH
62,98 ,16 Mains / 20 Crosses,328,27,Babolat Pure Strike VS Tour,"Fast, Long",Low,209.00,10,HL
61,98 ,16 Mains / 20 Crosses,316,27,Babolat Pure Strike VS,"Fast, Long",Low,209.00,6,HL
64,100,16 Mains / 19 Crosses,306,27,Babolat Pure Strike Team,"Medium, Moderate",Medium,189.00,4,HL
64,98 ,18 Mains / 20 Crosses,324,27,Babolat Pure Strike 18/20,"Fast, Long",Low,199.00,7,HL
66,100,16 Mains / 19 Crosses,316,27,Babolat Pure Strike 100,"Fast, Long",Low,199.00,7,HL
64,98 ,16 Mains / 19 Crosses,325,27,Babolat Pure Strike 16/19,"Fast, Long",Low,199.00,7,HL
64,98 ,16 Mains / 19 Crosses,325,27,Babolat Pure Strike 16x19 Wimbledon,"Fast, Long",Low,209.00,7,HL
66,107,16 Mains / 19 Crosses,307,27.2,Babolat Pure Drive 107,"Medium, Moderate",Medium,169.00,4,HL
65,100,16 Mains / 19 Crosses,291,27,Babolat Pure Drive Lite,"Medium, Moderate",Medium,169.00,4,HL
64,110,16 Mains / 19 Crosses,307,27,Babolat Pure Drive 110,"Medium, Moderate",Medium,179.00,1,HL
67,100,16 Mains / 19 Crosses,342,27.5,Babolat Pure Drive Tour Plus,"Fast, Long",Medium,175.00,8,HL
68,100,16 Mains / 19 Crosses,323,27,Babolat Pure Drive Tour,"Fast, Long",Medium,175.00,9,HL
66,100,16 Mains / 19 Crosses,329,27,Babolat Pure Aero Tour,"Fast, Long",Low,209.00,9,HL
68,100,16 Mains / 19 Crosses,304,27,Babolat Pure Drive Team,"Medium, Moderate",Medium,175.00,7,HL
66,100,16 Mains / 19 Crosses,302,27,Babolat Pure Aero Lite,"Medium, Moderate",Medium,195.00,4,HL
67,100,16 Mains / 19 Crosses,326,27.5,Babolat Pure Drive Plus,"Fast, Long",Medium,179.00,6,HL
66,110,16 Mains / 19 Crosses,297,27.6,Babolat 2018 Pure Drive 110,"Slow, Compact",High,199.00,6,HL
66,100,16 Mains / 19 Crosses,334,27.5,Babolat Pure Aero +,"Fast, Long",Medium,219.00,9,HL
70,100,16 Mains / 19 Crosses,321,27,Babolat 2015 Pure Drive,"Fast, Long",Medium,179.00,7,HL
66,100,16 Mains / 19 Crosses,316,27,Babolat Pure Aero,"Fast, Long",Low,219.00,7,HL
66,100,16 Mains / 19 Crosses,302,27,Babolat Pure Aero Lite Decima French Open,"Medium, Moderate",Medium,205.00,4,HL
