Flex,Head_Size (in.^2),String_Pattern,Swingweight (g.),Length (in.),Racket_Name,Swing_speed,Power_Level,Price($),Balance_Points,Balance_Type
67.0,97 ,16 Mains / 19 Crosses,337,27,Wilson Pro Staff RF 97 Autograph,"Fast, Long",Low,269.00,12,HL
62.0,98 ,18 Mains / 20 Crosses,326,27,Wilson Blade 98 18X20 Countervail,"Fast, Long",Low,219.00,6,HL
63.0,104,18 Mains / 19 Crosses,346,28,Wilson Blade 104 Countervail SW Autograph,"Fast, Long",Medium,249.00,8,HL
69.0,99 ,16 Mains / 18 Crosses,296,27,Wilson Blade Team 99 Lite,"Medium, Moderate",Medium,139.00,6,HL
61.0,104,18 Mains / 19 Crosses,324,27.5,Wilson Blade 104,"Fast, Long",Medium,199.00,8,HL
62.0,98 ,16 Mains / 19 Crosses,316,27,Wilson Blade 98 16X19 Countervail,"Fast, Long",Low,219.00,6,HL
62.0,98 ,18 Mains / 16 Crosses,327,27,Wilson Blade 98S 18X16 Countervail,"Fast, Long",Medium,219.00,4,HL
70.0,99 ,16 Mains / 18 Crosses,321,27,Wilson Blade Team 99,"Fast, Long",Medium,139.00,6,HL
62.0,98 ,16 Mains / 19 Crosses,316,27,Wilson Blade 98 16X19 CV Black,"Fast, Long",Low,219.00,6,HL
65.0,97 ,16 Mains / 19 Crosses,318,27,Wilson Pro Staff 97 Countervail Black,"Fast, Long",Low,219.00,10,HL
72.0,100,16 Mains / 19 Crosses,312,27,Wilson Ultra 100 CV Reverse,"Medium, Moderate",Medium,219.00,7,HL
72.0,100,16 Mains / 19 Crosses,312,27,Wilson Ultra 100 CV Black,"Medium, Moderate",Medium,219.00,7,HL
63.0,97 ,16 Mains / 19 Crosses,323,27,Wilson Pro Staff 97 Black,"Fast, Long",Low,219.00,10,HL
68.0,97 ,16 Mains / 19 Crosses,313,27,Wilson Pro Staff 97L Countervail,"Fast, Long",Medium,219.00,6,HL
66.0,100,18 Mains / 16 Crosses,318,27,Wilson Burn 100S CV Black,"Fast, Long",Medium,199.00,7,HL
64.0,97 ,18 Mains / 16 Crosses,302,27,Wilson Pro Staff 97LS Black,"Fast, Long",Medium,199.00,6,HL
,103,16 Mains / 20 Crosses,321,27.25,Wilson Triad Five,"Medium, Moderate",High,199.00,3,HH
69.0,105,16 Mains / 15 Crosses,332,27.5,Wilson Steam 105S Yellow,"Fast, Long",Medium,159.00,4,HL
71.0,110,16 Mains / 20 Crosses,327,27.5,Wilson Hyper Hammer 5.3 110 Prestrung,"Fast, Long",Medium,89.00,10,HH
,103,16 Mains / 18 Crosses,318,27,Wilson Triad XP 5,"Medium, Moderate",Medium,279.00,3,HH
71.0,115,16 Mains / 19 Crosses,334,27.9,Wilson N1 115 Prestrung,"Slow, Compact",High,129.00,10,HH
,113,16 Mains / 19 Crosses,314,27.5,Wilson Triad XP 3,"Medium, Moderate",High,279.00,3,HH
,113,16 Mains / 19 Crosses,329,27.5,Wilson Triad Three,"Slow, Compact",High,199.00,3,HH
73.0,110,16 Mains / 18 Crosses,321,27.5,Wilson XP1,"Slow, Compact",High,299.00,0,Even
74.0,108,16 Mains / 19 Crosses,323,27.25,Wilson Ultra 108,"Medium, Moderate",High,139.00,3,HL
69.0,103,16 Mains / 15 Crosses,320,27.25,Wilson Ultra 103S,"Medium, Moderate",Medium,119.00,3,HL
67.0,110,16 Mains / 18 Crosses,300,27.25,Wilson Ultra 110,"Slow, Compact",High,199.00,3,HL
62.0,100,16 Mains / 19 Crosses,316,27,Wilson Ultra 100,"Fast, Long",Low,139.00,7,HL
64.0,105,16 Mains / 15 Crosses,306,27.25,Wilson Ultra 105S Countervail,"Slow, Compact",High,219.00,7,HL
59.0,97 ,16 Mains / 19 Crosses,306,27,Wilson Ultra 97,"Fast, Long",Low,119.00,9,HL
65.0,100,16 Mains / 19 Crosses,299,27,Wilson Ultra 100L,"Medium, Moderate",High,199.00,6,HL
73.0,100,16 Mains / 18 Crosses,308,27,Wilson Ultra Team 100 Ultra Lite,"Medium, Moderate",Medium,159.00,1,HL
59.0,97 ,18 Mains / 20 Crosses,319,27,Wilson Ultra Tour,"Fast, Long",Low,249.00,9,HL
65.0,100,16 Mains / 19 Crosses,299,27,Wilson Ultra 100UL,"Medium, Moderate",Low,189.00,4,HL
