Flex,Head_Size (in.^2),String_Pattern,Swingweight (g.),Length (in.),Racket_Name,Swing_speed,Power_Level,Price($),Balance_Points,Balance_Type
65,97 ,16 Mains / 19 Crosses,330,27,Yonex VCore Pro 97 330g,"Fast, Long",Low,219.00,10,HL
64,105,16 Mains / 18 Crosses,309,27,Yonex VCore SV 105,"Medium, Moderate",Medium,179.00,1,HL
67,100,16 Mains / 19 Crosses,318,27,Yonex VCore SV 100 Lite,"Fast, Long",Medium,179.00,4,HL
69,100,16 Mains / 18 Crosses,292,26.5,Yonex VCore SV 100S,"Fast, Long",Medium,129.00,2,HL
61,100,16 Mains / 20 Crosses,308,27,Yonex VCore Duel G 100,"Fast, Long",Low,149.00,7,HL
67,100,16 Mains / 19 Crosses,321,27,Yonex VCore SV 100,"Fast, Long",Low,179.00,7,HL
70,100,16 Mains / 19 Crosses,341,27.5,Yonex Vcore SV 100 Plus,"Fast, Long",Medium,179.00,6,HL
63,97 ,16 Mains / 20 Crosses,307,27,Yonex VCore Duel G 97 Lite,"Fast, Long",Low,149.00,10,HL
66,98 ,16 Mains / 19 Crosses,323,27,Yonex VCore SV Team,"Medium, Moderate",Medium,159.00,3,HL
63,98 ,16 Mains / 20 Crosses,317,27,Yonex VCore SV 98 Lite,"Fast, Long",Medium,179.00,6,HL
72,105,16 Mains / 18 Crosses,306,27,Yonex Astrel 105,"Slow, Compact",Medium,249.00,4,HL
67,98 ,16 Mains / 20 Crosses,322,27.5,Yonex Vcore SV 98 Plus,"Fast, Long",Medium,179.00,6,HL
65,108,16 Mains / 18 Crosses,287,27.25,Yonex EZONE DR 108,"Slow, Compact",High,129.00,4,HL
69,115,16 Mains / 17 Crosses,311,27.25,Yonex Astrel 115,"Slow, Compact",Medium,249.00,1,HH
63,95 ,16 Mains / 20 Crosses,327,27,Yonex VCore SV 95,"Fast, Long",Low,179.00,10,HL
65,98 ,16 Mains / 20 Crosses,320,27,Yonex VCore SV 98,"Fast, Long",Low,179.00,9,HL
63,100,16 Mains / 19 Crosses,306,27,Yonex EZONE DR Lite,"Fast, Long",Medium,129.00,5,HL
70,100,16 Mains / 19 Crosses,336,27.5,Yonex Ezone Dr 100 Plus,"Fast, Long",Medium,199.00,6,HL
65,100,16 Mains / 20 Crosses,314,27,Yonex VCore Duel G 100 Lite,"Medium, Moderate",Medium,149.00,3,HL
66,100,16 Mains / 19 Crosses,321,27,Yonex EZONE DR 100 Black and Blue,"Fast, Long",Low,199.00,7,HL
63,98 ,16 Mains / 19 Crosses,335,27.5,Yonex Ezone Dr 98 Plus,"Fast, Long",Medium,199.00,9,HL
59,98 ,16 Mains / 19 Crosses,317,27,Yonex EZONE DR 98 Black and Blue,"Fast, Long",Low,199.00,9,HL
66,108,16 Mains / 18 Crosses,308,27.25,Yonex Ezone 108,"Medium, Moderate",High,179.00,4,HL
61,100,16 Mains / 18 Crosses,299,27,Yonex Ezone Lite Smash Pink,"Medium, Moderate",Medium,199.00,4,HL
66,107,16 Mains / 19 Crosses,311,27,Yonex Ezone Rally,"Medium, Moderate",Medium,99.00,3,HL
66,100,16 Mains / 19 Crosses,305,27,Yonex Ezone 100 Lite,"Fast, Long",Medium,209.00,6,HL
61,100,16 Mains / 18 Crosses,299,27,Yonex Ezone Lite Lime Green,"Medium, Moderate",Medium,199.00,4,HL
61,98 ,16 Mains / 19 Crosses,309,27,Yonex Ezone 98 Lite,"Fast, Long",Medium,209.00,4,HL
67,100,16 Mains / 19 Crosses,322,27,Yonex Ezone 100 Lime Green,"Fast, Long",Low,209.00,7,HL
67,102,16 Mains / 18 Crosses,306,27,Yonex Ezone Feel,"Medium, Moderate",Medium,159.00,2,HH
67,100,16 Mains / 19 Crosses,322,27,Yonex Ezone 100 Bright Blue,"Fast, Long",Low,209.00,7,HL
61,98 ,16 Mains / 19 Crosses,318,27,Yonex Ezone 98 Lime Green,"Fast, Long",Low,209.00,9,HL
61,98 ,16 Mains / 19 Crosses,318,27,Yonex Ezone 98 Bright Blue,"Fast, Long",Low,209.00,9,HL
64,98 ,16 Mains / 19 Crosses,336,27.5,Yonex EZone 98 Plus Blue,"Medium, Moderate",Medium,209.00,5,HL
66,100,16 Mains / 19 Crosses,320,27,Yonex VCore Pro 100,"Fast, Long",Low,219.00,7,HL
66,100,16 Mains / 19 Crosses,312,27,Yonex VCore Pro 100 Lite,"Medium, Moderate",Medium,219.00,2,HL
70,100,16 Mains / 19 Crosses,337,27.5,Yonex EZone 100 Plus Blue,"Medium, Moderate",Medium,209.00,3,HL
66,97 ,16 Mains / 19 Crosses,317,27,Yonex VCore Pro 97 290g Lite,"Medium, Moderate",Low,219.00,5,HL
64,97 ,16 Mains / 19 Crosses,317,27,Yonex VCore Pro 97 310g,"Fast, Long",Low,219.00,10,HL
