Flex,Head_Size,Weight,String_Pattern,Swingweight,Tension,Length,Racket_Name,Grip_Type,Swing_speed,Balance,Power_Level,Composition,Beam_Width
68,100 sq. in MP,"Strung — 11.2 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",323,50-59 Pounds,27 inches,2018 Pure Drive Tennis Racquet,Babolat Syntec Pro,"Fast, Long Swing",7 Pts Head Light,Medium,Graphite,23 / 26 / 23mm
70,100 sq. in MP,"Strung — 11.6 oz
					Unstrung — 11.1 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 10T, 7H, 10H, Two Piece, No Shared Holes
					",320,50-59 Pounds,27 inches,2018 Pure Drive Tour Tennis Racquet,Babolat Syntec Pro,"Fast, Long Swing",9 Pts Head Light,Low,Graphite,23/26/23mm
66,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",316,50-59 Pounds,27 inches,Pure Aero Decima French Open Tennis Racquet,Babolat Syntec Pro,"Fast, Long Swing",7 Pts Head Light,Low,Graphite,23/26/23mm
69,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",320,50-59 Pounds,27.5 inches,2018 Pure Drive Plus Tennis Racquet,Babolat Syntec Pro,"Medium, Moderate Swing",9 Pts Head Light,Medium,Graphite,23/26/23mm
66,107 sq. in OS,"Strung — 10.6 oz
					Unstrung — 10.1 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",321,50-59 Pounds,27.2 inches,2018 Pure Drive 107 Tennis Racquet,Babolat Syntec Pro,"Medium, Moderate Swing",8 Pts Head Light,Medium,Graphite,23/26/23mm
67,100 sq. in MP,"Strung — 10.6 oz
					Unstrung — 10.1 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",321,50-59 Pounds,27 inches,2018 Pure Drive Team Tennis Racquet,Babolat Syntec Pro,"Medium, Moderate Swing",7 Pts Head Light,Medium,Graphite,23/26/23mm
69,100 sq. in MP,"Strung — 11.6 oz
					Unstrung — 11.1 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 10T, 7H, 10H, Two Piece, No Shared Holes
					",321,50-59 Pounds,27.5 inches,2018 Pure Drive Tour Plus Tennis Racquet,Babolat Syntec Pro,"Fast, Long Swing",11 Pts Head Light,Low,Graphite,23/26/23mm
67,100 sq. in MP,"Strung — 10 oz
					Unstrung — 9.5 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",300,50-59 Pounds,27 inches,2018 Pure Drive Lite Tennis Racquet,Babolat Syntec Pro,"Medium, Moderate Swing",4 Pts Head Light,Medium,Graphite,23/26/23mm
"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",112 sq. in OS,2 Pts Head Light,,,Graphite,"Strung — 9.7 oz
					Unstrung — 9.2 oz",Aero 112 Prestrung Tennis Racquet,"Slow, Compact Swing",,66,328,High,Babolat Syntec Pro
66,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",316,50-59 Pounds,27 inches,Pure Aero Play Tennis Racquet,Syntec Pro,"Fast, Long Swing",7 Pts Head Light,Low,Graphite,23/26/23mm
