Flex,Head_Size,Weight,String_Pattern,Swingweight,Tension,Length,Racket_Name,Grip_Type,Swing_speed,Balance,Power_Level,Composition,Beam_Width
66,98 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",305,48-57 Pounds,27 inches,MXG 1 Tennis Racquet,Head Ultimate,"Fast, Long Swing",7 Pts Head Light,Low,MxG,22mm
57,98 sq. in MP,"Strung — 10.9 oz
					Unstrung — 10.4 oz","
					18 Mains / 20 Crosses, Mains Skip: 9T, 8H, 10H, Two Piece, No Shared Holes
					",308,52-62 Pounds,27 inches,MicroGel Radical MP Prestrung Tennis Racquets,HydroSorb,"Fast, Long Swing",4 Pts Head Light,Low,Graphite/Microgel,21mm
61,110 sq. in OS,"Strung — 9.8 oz
					Unstrung — 9.3 oz","
					16 Mains / 19 Crosses or 14  Mains / 19 Crosses, Two Piece, 
					",309,52-62 Pounds,27.4 inches,Graphene XT Radical PWR Tennis Racquet,Hydrosorb Comfort,"Slow, Compact Swing",Even Balance,High,Graphene XT,26/25/23mm
64,98 sq. in MP,"Strung — 10.9 oz
					Unstrung — 10.4 oz","
					16 Mains / 16 Crosses or 16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",319,48-57 Pounds,27 inches,Graphene XT Radical MP A Tennis Racquet,Hydrosorb Pro,"Fast, Long Swing",9 Pts Head Light,Low,Graphene XT,20/23/21mm
59,102 sq. in MP,"Strung — 10.4 oz
					Unstrung — 9.9 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",306,48-57 Pounds,27 inches,Graphene Touch Radical S Tennis Racquet,HEAD Hydrosorb Pro,"Fast, Long Swing",8 Pts Head Light,Medium,Graphene Touch,22/25/23mm
65,98 sq. in MP,"Strung — 11.4 oz
					Unstrung — 10.9 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",336,48-57 Pounds,27 inches,Graphene XT Radical Pro Tennis Racquet,Hydrosorb Pro,"Fast, Long Swing",9 Pts Head Light,Low,Graphene XT,20/23/21mm
65,98 sq. in MP,"Strung — 10.9 oz
					Unstrung — 10.4 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",322,48-57 Pounds,27 inches,Graphene Touch Radical MP Tennis Racquet,HEAD Hydrosorb Pro,"Fast, Long Swing",8 Pts Head Light,Medium,Graphene Touch,20/23/21mm
,"
					
					",,,,,,Graphene Xt Radical MP Limited Tennis Racquet,,,,,,
56,102 sq. in MP,"Strung — 9.7 oz
					Unstrung — 9.2 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",309,48-57 Pounds,27 inches,Graphene XT Radical Lite Tennis Racquet,Hydrosorb Pro,"Medium, Moderate Swing",Even Balance,Medium,Graphene XT,22/25/23mm
65,98 sq. in MP,"Strung — 11.4 oz
					Unstrung — 10.9 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",327,48-57 Pounds,27 inches,Graphene Touch Radical Pro Tennis Racquet,HEAD Hydrosorb Pro,"Fast, Long Swing",8 Pts Head Light,Low,Graphene Touch,20/23/21mm
61,98 sq. in MP,"Strung — 11.8 oz
					Unstrung — 11.3 oz","
					18 Mains / 20 Crosses, Mains Skip: 8H, 9T, 10H, Two Piece, No Shared Holes
					",311,48-57 Pounds,27 inches,Graphene XT Prestige MP Tennis Racquet,Hydrosorb Pro,"Fast, Long Swing",10 Pts Head Light,Low,Graphene XT,21mm
62,110 sq. in OS,"Strung — 9.8 oz
					Unstrung — 9.3 oz","
					16 Mains / 19 Crosses or 14  Mains / 19 Crosses, Varies, Two Piece, Varies
					",315,52-62 Pounds,27.4 inches,Graphene Touch Radical PWR Tennis Racquet,HEAD Hydrosorb Pro,"Slow, Compact Swing",Even Balance,High,Graphene Touch,26/25/23mm
59,98 sq. in MP,"Strung — 11.3 oz
					Unstrung — 10.8 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",309,48-57 Pounds,27 inches,Graphene XT Prestige S Tennis Racquet,Hydrosorb Pro,"Fast, Long Swing",8 Pts Head Light,Low,Graphene XT,22mm
