Flex,Head_Size,Weight,String_Pattern,Swingweight,Tension,Length,Racket_Name,Grip_Type,Swing_speed,Balance,Power_Level,Composition,Beam_Width
67,97 sq. in MP,"Strung — 12.5 oz
					Unstrung — 12 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",337,50-60 Pounds,27 inches,Pro Staff RF 97 Autograph Tennis Racquet,Wilson Leather Grip,"Fast, Long Swing",12 Pts Head Light,Low,Braided Graphite/Kevlar,21.5mm
62,98 sq. in MP,"Strung — 11.2 oz
					Unstrung — 10.7 oz","
					18 Mains / 20 Crosses, Mains Skip: 8T, 8H, 10T, 10H, Two Piece, No Shared Holes
					",326,50-60 Pounds,27 inches,Blade 98 18X20 Countervail Tennis Racquet,Wilson Sublime,"Fast, Long Swing",6 Pts Head Light,Low,Braided Graphite/Basalt/Countervail,20.6mm Flat Beam
63,104 sq. in MP,"Strung — 11.3 oz
					Unstrung — 10.8 oz","
					18 Mains / 19 Crosses, Mains Skip: 9T, 9H, Two Piece, No Shared Holes
					",346,50-60 Pounds,28 inches,Blade 104 Countervail SW Autograph Tennis Racquet,Wilson Sublime,"Fast, Long Swing",8 Pts Head Light,Medium,Braided Graphite/Basalt/Countervail,22mm Flat Beam
69,99 sq. in MP,"Strung — 10.3 oz
					Unstrung — 9.8 oz","
					16 Mains / 18 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",296,50-60 Pounds,27 inches,Blade Team 99 Lite Tennis Racquet,Wilson Sublime,"Medium, Moderate Swing",6 Pts Head Light,Medium,Graphite,22/24/22mm Dual Taper Beam
61,104 sq. in MP,"Strung — 10.7 oz
					Unstrung — 10.2 oz","
					18 Mains / 19 Crosses, Mains Skip: 9T, 9H, Two Piece, No Shared Holes
					",324,50-60 Pounds,27.5 inches,Blade 104 Tennis Racquet,Wilson Sublime,"Fast, Long Swing",8 Pts Head Light,Medium,Braided Graphite/Basalt,22mm Flat Beam
62,98 sq. in MP,"Strung — 11.2 oz
					Unstrung — 10.7 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",316,50-60 Pounds,27 inches,Blade 98 16X19 Countervail Tennis Racquet,Wilson Sublime,"Fast, Long Swing",6 Pts Head Light,Low,Braided Graphite/Basalt/Countervail,20.6mm Flat Beam
62,98 sq. in MP,"Strung — 10.9 oz
					Unstrung — 10.4 oz","
					18 Mains / 16 Crosses, Mains Skip: 8T, 8H, 10T, 10H, Two Piece, No Shared Holes
					",327,50-60 Pounds,27 inches,Blade 98S 18X16 Countervail Tennis Racquet,Wilson Sublime,"Fast, Long Swing",4 Pts Head Light,Medium,Braided Graphite/Basalt/Countervail,20.6mm Flat Beam
70,99 sq. in MP,"Strung — 11.2 oz
					Unstrung — 10.7 oz","
					16 Mains / 18 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",321,50-60 Pounds,27 inches,Blade Team 99 Tennis Racquet,Wilson Sublime,"Fast, Long Swing",6 Pts Head Light,Medium,Graphite,22/24/22mm Dual Taper Beam
62,98 sq. in MP,"Strung — 11.2 oz
					Unstrung — 10.7 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",316,50-60 Pounds,27 inches,Blade 98 16X19 CV Black Tennis Racquet,Wilson Sublime,"Fast, Long Swing",6 Pts Head Light,Low,Braided Graphite/Basalt/Countervail,20.6mm Flat Beam
65,97 sq. in MP,"Strung — 11.6 oz
					Unstrung — 11.1 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",318,50-60 Pounds,27 inches,Pro Staff 97 Countervail Black Tennis Racquet,Wilson Pro Performance,"Fast, Long Swing",10 Pts Head Light,Low,Braided Graphite,21.5mm
72,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",312,50-60 Pounds,27 inches,Ultra 100 CV Reverse Tennis Racquet,Wilson Sublime,"Medium, Moderate Swing",7 Pts Head Light,Medium,High Performance Carbon Fiber/CounterVail,23/26.5/22.5mm Dual Taper Beam
72,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",312,50-60 Pounds,27 inches,Ultra 100 CV Black Tennis Racquet,Wilson Sublime,"Medium, Moderate Swing",7 Pts Head Light,Medium,High Performance Carbon Fiber/CounterVail,23/26.5/22.5mm Dual Taper Beam
63,97 sq. in MP,"Strung — 11.6 oz
					Unstrung — 11.1 oz","Fast, Long Swing",,50-60 Pounds,27 inches,Pro Staff 97 Black Tennis Racquet,Low,323,10 Pts Head Light,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",Braided Graphite,21.5mm Flat Beam
68,97 sq. in MP,"Strung — 10.7 oz
					Unstrung — 10.2 oz","
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",313,50-60 Pounds,27 inches,Pro Staff 97L Countervail Tennis Racquet,Wilson Sublime,"Fast, Long Swing",6 Pts Head Light,Medium,Braided Graphite,23mm
66,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					18 Mains / 16 Crosses, Mains Skip: 9T, 8H, 10H, Two Piece, Shared Holes: 8T
					",318,50-60 Pounds,27 inches,Burn 100S CV Black Tennis Racquet,Wilson Sublime,"Fast, Long Swing",7 Pts Head Light,Medium,High Performance Carbon Fiber/Countervail,23/25/23mm Dual Taper Beam
64,97 sq. in MP,"Strung — 10.7 oz
					Unstrung — 10.2 oz","Fast, Long Swing",,50-60 Pounds,27 inches,Pro Staff 97LS Tennis Racquet Black,Medium,302,6 Pts Head Light,"
					18 Mains / 16 Crosses, Mains Skip: 8T, 10T, 8H, 10H, Two Piece, No Shared Holes
					",Braided Graphite,23mm Flat Beam
,95 sq. in MP,5 Pts Head Light,,,18mm Square Beam,21 inches,Blade Team 21 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 17 Crosses, Two Piece, No Shared Holes
					"
,100 sq. in MP,2 Pts Head Light,,,22.5mm O Beam,26 inches,Blade Team 26 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 19 Crosses, Two Piece, No Shared Holes
					"
,100 sq. in MP,4 Pts Head Light,,,22.5mm O Beam,25 inches,Blade Team 25 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 19 Crosses, Two Piece, No Shared Holes
					"
,80 sq. in MP,1 Pt Head Heavy,,,19mm RG Beam,19 inches,Burn Team 19 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 15 Crosses, Two Piece, No Shared Holes
					"
,92 sq. in MP,Even Balance,,,19mm C Beam,21 inches,US Open 21 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 18 Crosses, Two Piece, No Shared Holes
					"
,95 sq. in MP,5 Pts Head Light,,,18mm Square Beam,23 inches,Blade Team 23 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 17 Crosses, Two Piece, No Shared Holes
					"
,82 sq. in MP,2 Pts Head Light,,,19mm C Beam,19 inches,US Open 19 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 17 Crosses, Two Piece, No Shared Holes
					"
,100 sq. in MP,"
					Two Piece, 
					",,,,25 inches,Ultra 25 Junior Tennis Racquet,,,,,,
,95 sq. in MP,1 Pt Head Light,,,21mm C Beam,23 inches,US Open 23 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 19 Crosses, Two Piece, No Shared Holes
					"
,,,,,,,Ultra 26 Junior Tennis Racquet,,,,,,
,106 sq. in OS,2 Pts Head Light,,,21mm C Beam,25 inches,US Open 25 Junior Tennis Racquet,,,Aluminum,,,"
					16 Mains / 19 Crosses, Two Piece, No Shared Holes
					"
Medium,100 sq. in MP,"Strung — 9.4 oz
					Unstrung — 8.4 oz",,,2 Pts Head Light,25 inches,Pro Staff 25 Junior Tennis Racquet,"
					16 Mains / 18 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",,23mm Flat Beam,"Medium, Moderate Swing",Sublime,Graphite
