Flex,Head_Size,Weight,String_Pattern,Swingweight,Tension,Length,Racket_Name,Grip_Type,Swing_speed,Balance,Power_Level,Composition,Beam_Width
65,97 sq. in MP,"Strung — 12.1 oz
					Unstrung — 11.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",330,45-60 Pounds,27 inches,VCore Pro 97 330g Tennis Racquet,Yonex Synthetic,"Fast, Long Swing",10 Pts Head Light,Low,H.M. Graphite/Black Micro Core/Namd,20mm
64,105 sq. in OS,"Strung — 9.8 oz
					Unstrung — 9.3 oz","
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",309,40-55 Pounds,27 inches,VCore SV 105 Tennis Racquet,Yonex Synthetic,"Medium, Moderate Swing",1 Pt Head Light,Medium,H.M. Graphite/Nanometric XT,26/26/23mm
67,100 sq. in MP,"Strung — 10.4 oz
					Unstrung — 9.9 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",318,45-60 Pounds,27 inches,VCore SV 100 Lite Tennis Racquet,Yonex Synthetic,"Fast, Long Swing",4 Pts Head Light,Medium,H.M. Graphite/Black Micro Core/Nanometric XT,25/25/22mm
69,100 sq. in MP,"Strung — 10 oz
					Unstrung — 9.5 oz","
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",292,40-55 Pounds,26.5 inches,VCore SV 100S Tennis Racquet,Yonex Synthetic,"Fast, Long Swing",2 Pts Head Light,Medium,H.M. Graphite/Black Micro Core/Nanometric XT,25/25/22mm
61,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 20 Crosses, Mains Skip: None, Two Piece, Shared Holes: 7H, 8H, 8T
					",308,50-65 Pounds,27 inches,VCore Duel G 100 Tennis Racquet,Yonex Super Cushion Grip,"Fast, Long Swing",7 Pts Head Light,Low,H.M. Graphite/Black Micro Core/Tough G-Fiber,20/21mm
67,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",321,45-60 Pounds,27 inches,VCore SV 100 Tennis Racquet,Yonex Synthetic,"Fast, Long Swing",7 Pts Head Light,Low,H.M. Graphite/Black Micro Core/Nanometric XT,25/25/22mm
70,100 sq. in MP,"Strung — 11.1 oz
					Unstrung — 10.6 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",341,45-60 Pounds,27.5 inches,Vcore SV 100 Plus Tennis Racquet,Yonex Synthetic,"Fast, Long Swing",6 Pts Head Light,Medium,H.M. Graphite/Black Micro Core/Nanometric XT,23/26/22 mm
63,97 sq. in MP,"Strung — 11.4 oz
					Unstrung — 10.9 oz","
					16 Mains / 20 Crosses, Mains Skip: None, Two Piece, Shared Holes: 7H, 8H, 8T
					",307,50-65 Pounds,27 inches,VCore Duel G 97 Lite Tennis Racquet,Yonex Super Cushion Grip,"Fast, Long Swing",10 Pts Head Light,Low,H.M. Graphite/Black Micro Core/Tough G-Fiber,20mm
66,98 sq. in MP,"Strung — 10.4 oz
					Unstrung — 9.9 oz","
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",323,45-60 Pounds,27 inches,VCore SV Team Tennis Racquet,Yonex Synthetic,"Medium, Moderate Swing",3 Pts Head Light,Medium,H.M. Graphite/Nanometric XT,23/23/21mm
63,98 sq. in MP,"Strung — 10.6 oz
					Unstrung — 10.1 oz","
					16 Mains / 20 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",317,45-60 Pounds,27 inches,VCore SV 98 Lite Tennis Racquet,Yonex Synthetic,"Fast, Long Swing",6 Pts Head Light,Medium,H.M. Graphite/Black Micro Core/Nanometric XT,22/22/21mm
