Flex,Head_Size (in.^2),String_Pattern,Swingweight (g.),Length (in.),Racket_Name,Swing_speed,Power_Level,Price($),Balance_Points,Balance_Type
66,98 ,16 Mains / 19 Crosses,305,27,Head MXG 1,"Fast, Long",Low,239.95,7,HL
57,98 ,18 Mains / 20 Crosses,308,27,Head MicroGel Radical MP Prestrungs,"Fast, Long",Low,89.95,4,HL
61,110,16 Mains / 19 Crosses,309,27.4,Head Graphene XT Radical PWR,"Slow, Compact",High,139.95,0,Even
64,98 ,16 Mains / 16 Crosses,319,27,Head Graphene XT Radical MP A,"Fast, Long",Low,129.95,9,HL
59,102,16 Mains / 19 Crosses,306,27,Head Graphene Touch Radical S,"Fast, Long",Medium,199.95,8,HL
65,98 ,16 Mains / 19 Crosses,336,27,Head Graphene XT Radical Pro,"Fast, Long",Low,129.95,9,HL
65,98 ,16 Mains / 19 Crosses,322,27,Head Graphene Touch Radical MP,"Fast, Long",Medium,209.95,8,HL
56,102,16 Mains / 19 Crosses,309,27,Head Graphene XT Radical Lite,"Medium, Moderate",Medium,129.95,0,Even
65,98 ,16 Mains / 19 Crosses,327,27,Head Graphene Touch Radical Pro,"Fast, Long",Low,219.95,8,HL
61,98 ,18 Mains / 20 Crosses,311,27,Head Graphene XT Prestige MP,"Fast, Long",Low,129.95,10,HL
62,110,16 Mains / 19 Crosses,315,27.4,Head Graphene Touch Radical PWR,"Slow, Compact",High,189.95,0,Even
59,98 ,16 Mains / 19 Crosses,309,27,Head Graphene XT Prestige S,"Fast, Long",Low,129.95,8,HL
58,93 ,16 Mains / 19 Crosses,322,27,Head Graphene XT Prestige Rev Pro,"Fast, Long",Medium,129.95,8,HL
61,95 ,16 Mains / 19 Crosses,324,27,Head Graphene Touch Prestige Pro,"Fast, Long",Low,219.95,8,HL
62,95 ,18 Mains / 20 Crosses,318,27,Head Graphene Touch Prestige MP,"Fast, Long",Low,219.95,11,HL
68,107,16 Mains / 19 Crosses,310,27.5,Head Ti.S5 CZ Prestrungs,"Medium, Moderate",High,74.95,7,HH
76,115,16 Mains / 19 Crosses,303,27.5,Head Ti.S6 Prestrung Racquets,"Medium, Moderate",High,79.95,13,HH
74,115,14 Mains / 17 Crosses,315,27.5,Head i.S12 Prestrung,"Slow, Compact",High,84.95,9,HH
70,100,16 Mains / 19 Crosses,318,27,Head Graphene Extreme MP Prestrung,"Fast, Long",Medium,119.95,8,HL
66,112,16 Mains / 19 Crosses,303,27,Head Liquidmetal 8 Prestrungs,"Medium, Moderate",High,84.95,2,HH
64,100,16 Mains / 19 Crosses,325,27,Head Graphene Touch Extreme MP,"Fast, Long",Low,189.95,3,HL
61,100,16 Mains / 19 Crosses,303,27,Head Graphene Touch Instinct S,"Fast, Long",Medium,189.95,8,HL
58,107,16 Mains / 19 Crosses,305,27.2,Head Graphene Touch Instinct Lite,"Medium, Moderate",Medium,189.95,2,HL
65,100,16 Mains / 19 Crosses,305,27,Head Graphene Touch Speed S,"Medium, Moderate",Medium,159.95,8,HL
64,100,16 Mains / 19 Crosses,303,27,Head Graphene Touch Instinct Adaptive,"Fast, Long",Medium,199.95,4,HL
67,100,16 Mains / 19 Crosses,318,27,Head Graphene Touch Instinct MP,"Fast, Long",Low,199.95,8,HL
57,100,16 Mains / 19 Crosses,316,27,Head Graphene Touch Speed Adaptive,"Fast, Long",Medium,129.95,6,HL
58,115,16 Mains / 19 Crosses,315,27.4,Head Graphene Touch Speed PWR,"Slow, Compact",High,159.95,0,Even
62,99 ,18 Mains / 19 Crosses,328,27,Head Graphene Touch Prestige Tour,"Fast, Long",Low,219.95,8,HL
61,100,18 Mains / 20 Crosses,306,27,Head Graphene Touch Speed Pro,"Fast, Long",Low,159.95,8,HL
56,107,18 Mains / 19 Crosses,319,27,Head MicroGel Radical OS Prestrungs,"Fast, Long",Low,89.95,3,HL
57,93 ,16 Mains / 19 Crosses,319,27,Head Graphene Touch Prestige Mid,"Fast, Long",Low,219.95,11,HL
64,105,16 Mains / 18 Crosses,313,27.2,Head MXG 5,"Medium, Moderate",Medium,239.95,3,HL
70,100,16 Mains / 18 Crosses,321,27,Head MXG 3,"Fast, Long",Low,239.95,5,HL
61,100,16 Mains / 19 Crosses,310,27,Head Graphene Touch Speed MP,"Fast, Long",Low,159.95,8,HL
68,115,16 Mains / 18 Crosses,326,27.6,Head MXG 7,"Slow, Compact",High,239.95,3,HH
